Library file:   ../library.lib
Library name:   custom
Design file:    ../design.v
Module name:    circuit
Linker file:    linker.ld
Settings file:  ../config_sbox_d1.set
Result folder:  .

Start Hardware Leakage Evaluation

Read settings file before design file...done with 0 warnings!
Read library file...done!
Read design file..."circuit"...done!
Make circuit depth...done!
Read settings file...done with 8 warnings!
    Warning "end_wait_cycles" is not specified. Default "end_wait_cycles" = 0 is taken!
    Warning "multivariate_test" is not specified. Default "multivariate_test" = no is taken!
    Warning "minimize_probe_sets" is not specified. Default "minimize_probe_sets" = no is taken!
    Warning "remove_full_probing_sets" is not specified. Default "remove_full_probing_sets" = no is taken!
    Warning "no_of_entries_in_report" is not specified. Default "no_of_entries_in_report" = 10 is taken!
    Warning "max_distance_multivariate" is not specified. Default "max_distance_multivariate" = 10 is taken!
    Warning "no_of_probing_sets_per_step" is not specified. Default "no_of_probing_sets_per_step" = all is taken!
    Warning "effect_size" is not specified. Default "effect_size" = 0.1 is taken!
Construct probes...done!
Prepare simulation memory...done!
Prepare shared data for 10 threads ...done!

Generate univariate probing sets...1104 probing sets generated...done!
Remove duplicated probing sets...846 probing sets remain...done!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             1104 |             1188 |           846 |                       1 |                      36 |                6.228132 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|        13.507379s |        0.892704GB |                3481600 |                    \inst_reg1_M2B0.in[5] (5) |   2.302777 |    OKAY |
|        13.912957s |        0.892704GB |                3584000 |                    \inst_reg1_M2B0.in[5] (5) |   2.540112 |    OKAY |
|        14.320674s |        0.892704GB |                3686400 |                    \inst_reg1_M2B0.in[5] (5) |   2.505626 |    OKAY |
|        14.726174s |        0.892704GB |                3788800 |                    \inst_reg1_M2B0.in[5] (5) |   2.375437 |    OKAY |
|        15.119603s |        0.892704GB |                3891200 |                   \inst_reg0_B2M0.out[4] (2) |   2.293083 |    OKAY |
|        15.528482s |        0.892704GB |                3993600 |                   \inst_reg0_B2M0.out[4] (2) |   2.144219 |    OKAY |
|        15.945237s |        0.892704GB |                4096000 |       \inst_r0_zero_mapper.mapped_val[3] (5) |   2.021144 |    OKAY |
----------------------------------------------------------------------------------------------------------------------------------------
Evaluation done in 15.9472 seconds!
done!
